2.707262175365077539e+01,1.499999999999999944e-01,1.100000000000000006e-01
2.628058497518778935e+01,1.485858585858585712e-01,1.100000000000000006e-01
2.552798239307640316e+01,1.471717171717171757e-01,1.100000000000000006e-01
2.481193650265583628e+01,1.457575757575757525e-01,1.100000000000000006e-01
2.412984132474318244e+01,1.443434343434343292e-01,1.100000000000000006e-01
2.347933112895017160e+01,1.429292929292929337e-01,1.100000000000000006e-01
2.284253844673401801e+01,1.415151515151515105e-01,1.199999999999999956e-01
2.222887623232464094e+01,1.401010101010100872e-01,1.199999999999999956e-01
2.164307782115032452e+01,1.386868686868686917e-01,1.199999999999999956e-01
2.108327952536320637e+01,1.372727272727272685e-01,1.199999999999999956e-01
2.054777864694521838e+01,1.358585858585858452e-01,1.199999999999999956e-01
2.003576119402156763e+01,1.344444444444444497e-01,1.300000000000000044e-01
1.952943866766184300e+01,1.330303030303030265e-01,1.300000000000000044e-01
1.904465289602388722e+01,1.316161616161616033e-01,1.300000000000000044e-01
1.858161789852017876e+01,1.302020202020202078e-01,1.300000000000000044e-01
1.813599564195179425e+01,1.287878787878787845e-01,1.300000000000000044e-01
1.770817409608597615e+01,1.273737373737373613e-01,1.300000000000000044e-01
1.729175904869102709e+01,1.259595959595959658e-01,1.400000000000000133e-01
1.688790106529913260e+01,1.245454545454545425e-01,1.400000000000000133e-01
1.649848251638031016e+01,1.231313131313131332e-01,1.400000000000000133e-01
1.612533700064355813e+01,1.217171717171717238e-01,1.400000000000000133e-01
1.576501489041424087e+01,1.203030303030303005e-01,1.400000000000000133e-01
1.541717570581834273e+01,1.188888888888888912e-01,1.500000000000000222e-01
1.507642016539100993e+01,1.174747474747474818e-01,1.500000000000000222e-01
1.474710628283545688e+01,1.160606060606060586e-01,1.500000000000000222e-01
1.442970387499606488e+01,1.146464646464646492e-01,1.500000000000000222e-01
1.412479286332349737e+01,1.132323232323232398e-01,1.500000000000000222e-01
1.382941200485493205e+01,1.118181818181818166e-01,1.500000000000000222e-01
1.353899663916302742e+01,1.104040404040404072e-01,1.600000000000000033e-01
1.325932572937493248e+01,1.089898989898989978e-01,1.600000000000000033e-01
1.298817346889380886e+01,1.075757575757575746e-01,1.600000000000000033e-01
1.272722468905173798e+01,1.061616161616161652e-01,1.600000000000000033e-01
1.247418612135207816e+01,1.047474747474747558e-01,1.700000000000000122e-01
1.222479921458301888e+01,1.033333333333333326e-01,1.700000000000000122e-01
1.198466245667624541e+01,1.019191919191919232e-01,1.700000000000000122e-01
1.175228490854481400e+01,1.005050505050505139e-01,1.700000000000000122e-01
1.152647455784978625e+01,9.909090909090909061e-02,1.700000000000000122e-01
1.130705905429164204e+01,9.767676767676768124e-02,1.800000000000000211e-01
1.109270802777335874e+01,9.626262626262627187e-02,1.800000000000000211e-01
1.088424010723561963e+01,9.484848484848484862e-02,1.800000000000000211e-01
1.068304678413726627e+01,9.343434343434343925e-02,1.800000000000000211e-01
1.048713278057094378e+01,9.202020202020202988e-02,1.800000000000000211e-01
1.029518965062363201e+01,9.060606060606060663e-02,1.900000000000000022e-01
1.010908063112064070e+01,8.919191919191919726e-02,1.900000000000000022e-01
9.928485214601950659e+00,8.777777777777778789e-02,1.900000000000000022e-01
9.752462907607663212e+00,8.636363636363636465e-02,1.900000000000000022e-01
9.580456287660000569e+00,8.494949494949495528e-02,2.000000000000000111e-01
9.413062384551071915e+00,8.353535353535354591e-02,2.000000000000000111e-01
9.249761154252103879e+00,8.212121212121212266e-02,2.000000000000000111e-01
9.091825958074924330e+00,8.070707070707071329e-02,2.000000000000000111e-01
8.936634696282311552e+00,7.929292929292930392e-02,2.100000000000000200e-01
8.785631092542892873e+00,7.787878787878788067e-02,2.100000000000000200e-01
8.638179977837179280e+00,7.646464646464647130e-02,2.100000000000000200e-01
8.494999583864629500e+00,7.505050505050506193e-02,2.200000000000000011e-01
8.354597571578814552e+00,7.363636363636363869e-02,2.200000000000000011e-01
8.217999138697432926e+00,7.222222222222222932e-02,2.200000000000000011e-01
8.084487942434876118e+00,7.080808080808081995e-02,2.200000000000000011e-01
7.953908825757928014e+00,6.939393939393939670e-02,2.300000000000000100e-01
7.826680622691163158e+00,6.797979797979798733e-02,2.300000000000000100e-01
7.702784750979180473e+00,6.656565656565657796e-02,2.300000000000000100e-01
7.580615967402984268e+00,6.515151515151515471e-02,2.400000000000000189e-01
7.461985783130707262e+00,6.373737373737374534e-02,2.400000000000000189e-01
7.346397906050929905e+00,6.232323232323233597e-02,2.400000000000000189e-01
7.232739101218763622e+00,6.090909090909091272e-02,2.500000000000000000e-01
7.121443574919929631e+00,5.949494949494950335e-02,2.500000000000000000e-01
7.013113816588807836e+00,5.808080808080809398e-02,2.600000000000000089e-01
6.906951381520122446e+00,5.666666666666667074e-02,2.600000000000000089e-01
6.803433286359939380e+00,5.525252525252526137e-02,2.600000000000000089e-01
6.701593532927112129e+00,5.383838383838385200e-02,2.700000000000000178e-01
6.601854294694918579e+00,5.242424242424242875e-02,2.700000000000000178e-01
6.504324538991347104e+00,5.101010101010101938e-02,2.800000000000000266e-01
6.409111586452369558e+00,4.959595959595961001e-02,2.800000000000000266e-01
6.315506328009709236e+00,4.818181818181818676e-02,2.900000000000000355e-01
6.224007954183800706e+00,4.676767676767677739e-02,2.999999999999999889e-01
6.133751906806240939e+00,4.535353535353536802e-02,2.999999999999999889e-01
6.045713616879080377e+00,4.393939393939394478e-02,3.099999999999999978e-01
5.959440778320163723e+00,4.252525252525253541e-02,3.200000000000000067e-01
